1:1	Yaw Teyofil, téere bu jëkk, ba ma bindoon, ëmb na lépp li Yeesu tàmbali woon a jëf ak a jàngale,
21:36	Ndaxte mbooloo maa nga ko topp, di xaacu ne: «Reyleen ko!»
21:37	Bi ñu koy bëgg a dugal ca tata ja, Pool ne kilifa ga: «Ndax man naa laa wax dara?» Mu tontu ko: «Yaw dégg nga gereg?
21:38	Kon nekkuloo waayi Misra, jooju jógloo woon nit ñi keroog te yóbbu woon ñeenti junniy bóomkat ca màndiŋ ma?»
21:39	Pool ne ko: «Man Yawut laa, di jaambur ci Tars, dëkk bu am tur ci diiwaanu Silisi. Maa ngi lay ñaan, ma wax ak mbooloo mi.»
21:40	Te kilifa ga may ko ko. Noonu Pool taxaw ca yéegukaay ba, tàllal loxoom mbooloo ma, ñu daldi ne tekk. Mu wax ak ñoom ci làkku yawut ne:
22:1	«Yéen bokk yi ak baay yi, dégluleen samaw lay.»
22:2	Bi ñu déggee, mu di leen wax ci làkku yawut, ñu gën ne xeram. Noonu Pool ne leen:
22:3	«Man Yawut laa, juddoo Tars ci diiwaanu Silisi, yaroo ci dëkk bii. Taalibe laa woon ci Gamaleel, mu jàngal ma bu wér yoonu sunuy maam, ba ma sawar ci Yàlla, mel ni yéen ñépp tey.
22:4	Daan naa fitnaal ña bokkoon ci yoon wii, ba di ci rey sax; yeew naa góor ak jigéen, tëj leen;
22:5	saraxalekat bu mag ba ak mbooloom njiit yi yépp man nañu ma cee seede. Am bés ñu bindal ma ay bataaxal ngir bokki Damas. Ma doon fa dem, ngir yeew ña fa nekkoon, indi leen Yerusalem, ngir ñu yar leen.
22:6	«Waaye ci digg-bëccëg, bi ma jaaree ca yoon wa, ba jegesi Damas, ca saa sa leer gu mag jóge asamaan, melax ba ëmb ma.
22:7	Ma daldi ne nërëm ci suuf, dégg baat bu ma ne: “Sool, Sool, lu tax nga di ma fitnaal?”
22:8	Ma tontu ko: “Yaa di kan, Boroom bi?” Mu ne ma: “Maa di Yeesum Nasaret, mi ngay fitnaal.”
22:9	Ñi ma àndaloon gis nañu leer ga, waaye dégguñu baatu ka doon wax ak man.
22:10	Noonu ma laaj ko: “Lu ma war a def, Boroom bi?” Boroom bi ne ma: “Jógal dem Damas, foofa dees na la biral lépp, li ma la yen.”
22:11	Gannaaw gisuma woon dara ndax leeraayu melxat ga, ña ma àndal wommat ma, ma ñëw Damas.
22:12	«Bi ma ko defee ku tudd Anañas ñëw ci man. Nit ku ragal Yàlla la woon ci sàmm yoonu Musaa, te Yawuti Damas yépp seedeel ko lu baax.
22:13	Mu taxaw ci sama wet ne ma: “Sool sama mbokk, delluwaatal di gis.” Noonu ma daldi gisaat ca saa sa, xool ko.
22:14	Mu ne ma: “Sunu Yàllay maam tànn na la, ba may la, nga xam coobareem te gis Aji Jub ji te nga dégg ay waxam.
22:15	Ndaxte li nga gis te dégg ko, dinga ko seede ci ñépp.
22:16	Léegi nag, looy nég? Jógal, ñu sóob la ci ndox, nga set ci say bàkkaar ci tudd turu Yeesu.”
22:17	«Bi ma dellusee Yerusalem nag, di ñaan ca kër Yàlla ga, leer tàbbi ci man.
22:18	Ma daldi gis Boroom bi, mu ne ma: “Génnal Yerusalem ci ni mu gën a gaawe, ndaxte duñu nangu li ngay seede ci man.”
22:19	Waaye ma tontu ne: “Boroom bi, xam nañu ne, dama daan wër jàngoo-jàngu, di tëj kaso ak di dóor ay yar ñi la gëm.
22:20	Rax-ca-dolli bi ñu tuuree deretu Ecen, mi la doon seedeel, teewe naa ko, ànd ca, bay wottu sax yérey ñi ko doon rey.”
22:21	Waaye Boroom bi ne ma: “Demal, dinaa la yebal fu sore, nga jëm ci xeeti ñi dul Yawut.”»
22:22	Mbooloo ma déglu ko nag ba ca wax jooju, waaye bi ñu déggee loolu, ñu daldi yuuxu naan: «Farleen ko ci àddina! Yembar mu mel ni moom yeyoowul a dund!»
22:23	Ñu daldi yuuxu ak di sànni seeni yére, tey callameeru suuf.
22:24	Noonu kilifa ga santaane, ñu dugal Pool ca tata ja te caw ko ay yar yu metti, laaj ko ba xam lu tax ñu di ko yuuxoo nii.
22:25	Waaye bi ñu koy joñ ak ay der, Pool ne njiitu xare ba fa taxaw: «Ndax am nga sañ-sañu dóor ay yar jaamburu Room, te fekk yoon dabu ko sax?»
22:26	Bi ko njiit la déggee, mu fekki kilifaam, yégal ko ko; mu ne ko: «Ndax xam nga li ngay def? Nit kale jaambur la ci Room.»
22:27	Noonu kilifa ga ñëw laaj Pool: «Wax ma, ndax jaambur nga ci Room?» Mu tontu ko: «Waaw, moom laa.»
22:28	Kilifa ga ne ko: «Man fey naa xaalis bu bare, ngir nekk jaambur ci Room.» Waaye Pool tontu ko: «Man de dama koo judduwaale.»
22:29	Ñi ko bëggoon a dóor ay yar nag randu ko ca saa sa. Te kilifa ga sax tiit ci xam ne Pool jaamburu Room la, te yeewlu na ko.
22:30	Ca ëllëg sa mu bàyyi ko, ndaxte bëggoon na xam bu wóor lu ko Yawut ya jiiñ. Mu santaane ne, saraxalekat yu mag ya dajaloo, ñoom ak kureelu àttekat ya. Gannaaw loolu mu indilu Pool, dëj ko ci seen kanam.
23:1	Noonu Pool xool jàkk géew ba ne leen: «Bokk yi, ci xel mu dal laa doxale ci kanam Yàlla ba ci bésu tey bi.»
23:2	Ci kaw loolu saraxalekat bu mag ba, di ku ñuy wax Anañas, sant ña taxaw ca wetam, ñu fél gémmiñam.
23:3	Pool ne ko: «Yàlla dina la dóor, yaw mi naaféq, bay samandaay miir bu joy bu ñu weexal. Yaa ngi toog di ma àtte, ci li yoon wi digle, ba noppi santaane ñu dóor ma, ci li yoon wi tere!»
23:4	Waaye ña taxaw ca wetam ne ko: «Ndax dangay xas saraxalekat bu mag, bi Yàlla fal?»
23:5	Pool tontu leen: «Bokk yi, xawma woon ne saraxalekat bu mag bi la, ndaxte tëral nañu ci Mbind mi ne: “Bul wax lu bon sa kilifag xeet.”»
23:6	Naka noona Pool, mi xam ne, genn-wàllu kureel ga bokk nañu ci tariixab Sadusen ya, te ña ca des bokk ci tariixab Farisen ya, mu wax ci kaw ci biir géew ba ne: «Bokk yi, man Farisen laa, te Farisen moo ma jur; li tax ñu may àtte tey mooy sama yaakaar ci ne, ñi dee dinañu dekki.»
23:7	Bi mu waxee loolu nag, werante wu metti daldi xew diggante Farisen ya ak Sadusen ya, ba mbooloo ma xaajalikoo.
23:8	Ndaxte Sadusen yi nanguwuñu ne, ndekkite mbaa malaaka mbaa rab, dara am na ci, waaye Farisen nangu nañu yooyu yépp.
23:9	Ci kaw loolu nag coow lu bare daldi jib. Ñenn ca xutbakat, ya bokk ca Farisen ya, ne bërét, daldi xuloo bu metti ne: «Gisunu dara lu bon ci nit kii. Su fekkeente ne, rab a ko wax mbaa malaaka...?»
23:10	Noonu xuloo ba daldi gën a tàng, ba kilifa ga ragal ne, nit ñi dinañu daggaate Pool. Kon mu sant xarekat ya, ñu wàcc, nangu Pool ci ñoom, yóbbu ko ca tata ja.
23:11	Ca guddi ga nag Boroom bi taxaw ci wetu Pool ne ko: «Takkal sa fit; ni nga ma seedee ci Yerusalem, noonu nga may seedee ca Room.»
23:12	Bi bët setee Yawut ya daldi lal pexe; ñu dige ci ngiñ ne, duñu lekkati, duñu naanati, ba kera ñuy rey Pool.
23:13	Ña lal pexe ma, seen lim ëpp na ñeent-fukk.
23:14	Noonu ñu dem ca saraxalekat yu mag ya ak njiit ya ne leen: «Giñ nanu ne, dunu mos dara, ba kera nuy rey Pool.
23:15	Léegi nag yéen ak kureelu àttekat ya, laajleen kilifa ga, mu indi ko ci seen kanam, mel ni dangeen a bëgg a seet mbiram bu gën a wóor. Bu ko defee nun dinanu fagaru, ngir rey ko, bala moo agsi.»
23:16	Waaye jarbaatu Pool yég fiir ga, mu dem, dugg ca tata ja, yégal ko Pool.
23:17	Bi ko Pool déggee, mu woo kenn ca njiiti xare ba ne ko: «Yóbbul waxambaane wii ca kilifa ga, ndax am na lu mu ko war a yégal.»
23:18	Njiit la jël ko, yóbbu ko ca kilifa ga ne ko: «Pool, mi ñu jàpp, moo ma woo, ñaan ma, ma indil la waxambaane wii, ndaxte am na lu mu lay wax.»
23:19	Noonu kilifa ga jàpp ci loxob waxambaane wa, wéetoo ak moom, laaj ko: «Loo ma bëgg a yégal?»
23:20	Mu tontu ne: «Yawut yi dañoo dige, ngir ñaan la, nga indi Pool ëllëg ca kanamu kureelu àttekat ya, mel ni dañoo bëgg a seet mbiram bu gën a wóor.
23:21	Bu leen ko may, ndaxte lu ëpp ñeent-fukk ci ñoom ñu ngi koy lalal fiir. Dige nañu ak ngiñ ne, dootuñu lekk, dootuñu naan, li feek reyuñu ko; fi mu ne sax fagaru nañu, di xaar, nga nangu.»
23:22	Kilifa ga nag sant waxambaane wa, mu bañ koo àgge kenn, ba noppi mu yiwi ko, mu dem.
23:23	Bi mu ko defee mu woo ñaar ci njiiti xare ba ne leen: «Waajal-leen ñaari téeméeri xarekat ak juróom-ñaar-fukki gawar ak ñaari téeméer ñu gànnaayoo xeej, ngeen dem Sesare ci juróom-ñeenti waxtu ci guddi.
23:24	Wutal-leen it Pool lu mu war, ngeen yóbbu ko ci jàmm ak salaam ba ca Feligsë, boroom réew mi.»
23:25	Noonu mu bind bataaxal bii:
23:26	Yaw Feligsë mu tedd mi, di boroom réew mi; man Këlódd Lisiyas maa ngi lay nuyu.
23:27	Yawut yi jàpp nañu nit kii, bëgg koo rey, waaye bi ma yégee ne, jaambur la ci Room, wallu naa ko ak ay xarekat, ba musal ko.
23:28	Bëggoon naa xam lu tax ñu kalaame ko. Moo tax ma yóbbu ko ca kanamu seen kureelu àttekat ya.
23:29	Gis naa ne li ñu ko jiiñ mu ngi aju ci ay werantey seen yoon, waaye jiiñuñu ko dara lu jar dee mbaa jéng.
23:30	Te bi ma déggee ne, ñu ngi koy fexeel, yebal naa ko ci yaw ci saa si. Sant naa nag ñi ko kalaame, ñu xamal la seen lay.
23:31	Noonu xarekat ya jël Pool ci guddi, indi ko ba ca dëkku Antipataris, ni ñu leen ko sante.
23:32	Ca ëllëg sa ñu woññiku, dellusi ca tata ja, bàyyi gawar ga, ñu gunge ko.
23:33	Bi gawar ga àggee Sesare, ñu jox boroom réew ma bataaxal ba, jébbal ko Pool.
23:34	Bi loolu amee boroom réew ma jàng bataaxal ba, laaj ci ban diiwaan la Pool dëkk. Bi mu yégee ne, mu ngi dëkk Silisi,
23:35	mu ne ko: «Kon bu ñi la kalaame ñëwee, dinga layoo.» Mu santaane nag, ñu denc ko ca kër buur ba Erodd.
24:1	Bi juróomi fan wéyee, Anañas saraxalekat bu mag ba dikk, ànd ak ay njiit ak layookat bu tudd Tertul, ñu woo Pool ci yoon fa kanam boroom réew ma.
24:2	Noonu ñu woo Pool, te Tertul daldi ko jiiñ naan: «Yaw Feligsë mu tedd mi, sa nguur jural na nu jàmm ju neex, te sa jàppandil soppi na lu bare ci sunu xeet.
24:3	Gis nanu ko fépp ak ci lépp, di la gërëm ak sunu xol bépp.
24:4	Waaye ngir bañ a yàggal jataay bi, maa ngi lay ñaan ci sa lewetaay, nga déglu nu ci lu gàtt.
24:5	Ndaxte ci mbirum nit kii teew, gis nanu ne rambaaj la, buy indi xëccoo ci Yawut yi ci àddina sépp, di njiitu mbooloo mu ñuy wax Nasaréen.
24:6	Dem na ba jéem a teddadil sax kër Yàlla ga, waaye jàpp nanu ko.
24:8	Soo ko laajee, yaw ci sa bopp, dinga gis ne, li nu koy jiiñ dëgg la.»
24:9	Ci kaw loolu Yawut ya ànd ca, di dëggal ne loolu wóor na.
24:10	Bi loolu amee boroom réew ma jox Pool kàddu gi. Noonu mu làyyi ne: «Xam naa ne, yaa ngi àtte xeet wi diirub at yu bare, moo tax maa ngi làyyi ak kóolute.
24:11	Man ngaa wóorliku ne, ëppagul fukki fan ak ñaar demoon naa Yerusalem ngir màggali.
24:12	Te kenn gisu ma, maay werante mbaa di jógloo mbooloo, muy ca kër Yàlla ga mbaa ca jàngu ya mbaa ci biir dëkk ba.
24:13	Te mënuñoo firndeel dara ci li ñu may jiiñ léegi.
24:14	Waaye nangu naa ci sa kanam ne, maa ngi jaamu Yàllay sunuy maam, ci topp yoon wi ñu ne, mooy tariixa; terewul ne, lépp li ñu tëral ci yoonu Musaa ak li yonent yi bind, gëm naa ko.
24:15	Te bokk naa ak ñoom yaakaar ci Yàlla, ne ñi jub ak ñi jubadi dinañu dekki keroog yawmelxayaam.
24:16	Moo tax fu ma tollu, maa ngi góor-góorlu, ngir am xel mu dal fa kanam Yàlla ak fa kanam nit ñi.
24:17	«Noonu gannaaw gëjeb at yu bare ñëw naa, ngir indil sama xeet ndimbal te jébbal Yàlla ay sarax.
24:18	Bi ma koy def nag, gis nañu ma ca kër Yàlla ga, ma setlu ba noppi, fekk ànduma ak mbooloo te indiwuma benn coow.
24:19	Waaye ay Yawut yu dëkk Asi — xanaa kay ñoo waroon a ñëw ci sa kanam, di ma kalaame, bu ñu amee dara lu ñu may topp.
24:20	Waaye it na nit ñii wax ci lan laa tooñe ci jataayu géewub àtte ba,
24:21	xanaa li ma waxoon ca kaw ci seen biir rekk ne: “Mbirum ndekkitel ñi dee moo tax ngeen dëj ma ci seen kanam tey!”»
24:22	Bi mu waxee noonu, Feligsë mi xam bu wóor mbirum yoon wi, yiwi leen ba beneen yoon. Mu ne leen: «Bu Lisiyas kilifag xare bi ñëwee, dinaa àtte seen mbir.»
24:23	Noonu mu sant njiitu xare ba ne ko: «Nanga wottu Pool, waaye nga may ko féex, te bàyyi ay xaritam, ñu topptoo ko.»
24:24	Bi ay fan wéyee, Feligsë ñëwaat, ànd ak jabaram Dursil, miy Yawut. Noonu mu woolu Pool, di ko déglu ci mbirum gëm Yeesu Kirist.
24:25	Waaye bi Pool di waxtaan ci mbirum njub ak moom sa bopp ak bés pénc, Feligsë daldi tiit, yiwi ko ne ko: «Demal, bu ma amee jot, dinaa la woolu.»
24:26	Fekk yaakaaroon na it ne, Pool dina ko jox xaalis; kon mu di ko faral a woolu, ngir waxtaan ak moom.
24:27	Bi ñaari at weesoo nag, amoon na ku wuutu Feligsë, tudd Porsiyus Festus. Noonu Feligsë, mi bëggoon lu neex Yawut ya, bàyyi Pool ca kaso ba.
25:1	Bi Festus teersee ci diiwaanam, mu teg ca ñetti fan, dem Yerusalem.
25:2	Noonu saraxalekat yu mag ya ak njiiti Yawut ya kalaame Pool ci moom.
25:3	Ñuy sàkku ndimbal ci moom, di ko ñaan bu wér, mu yónni Pool Yerusalem, fekk lal nañu fiiru rey ko ca yoon wa.
25:4	Waaye Festus tontu leen ne: «Ñu ngi wottu Pool ca Sesare, te dinaa fa dem fi ak fan yu néew.»
25:5	Mu ne leen: «Ñi am maana ci yéen nag, nangeen ànd ak man, layooji ak nit ka, bu dee tooñ na.»
25:6	Noonu Festus am fa ñoom juróom-ñett ba fukki fan, ba noppi dem Sesare. Ca ëllëg sa mu toog ca àttekaay ba, joxe ndigal, ñu indi Pool.
25:7	Bi mu ñëwee nag, Yawut ya jóge Yerusalem wër ko, di ko jiiñ tooñ yu bare te réy, te mënuñu leen a firndeel.
25:8	Noonu Pool làyyi ne: «Tooñuma yoonu Yawut ya, tooñuma kër Yàlla ga, tooñuma buur ba Sesaar.»
25:9	Ci kaw loolu Festus, mi bëgg lu neex Yawut ya, tontu Pool ne: «Ndax bëgguloo dem Yerusalem, nga layoo fa ci mbir yii ci sama kanam?»
25:10	Waaye Pool ne ko: «Maa ngi nii taxaw ci kanam àttekaayu buur Sesaar; te fii lañu ma war a àttee. Te yaw ci sa bopp xam nga bu baax ne, tooñuma Yawut yi.
25:11	Su ma tooñoon mbaa ma def lu bon lu jar dee, kon duma tinu ngir bañ a dee. Waaye bu li ñu may jiiñ taxawul, kenn sañu ma leen a jébbal. Dénk naa sama mbir Sesaar.»
25:12	Bi mu waxee loolu, Festus gise ak ñi ko wër, mu tontu ko: «Dénk nga sa mbir Sesaar, kon ci moom ngay dem.»
25:13	Ba ñu ca tegee ay fan, buur Agaripa ak Berenis ñëw Sesare, ngir nuyusi Festus.
25:14	Bi seen ngan di ruus nag, Festus diis buur ba mbirum Pool ne ko: «Feligsë batale na nu ak kenn ku ñu tëj.
25:15	Te bi ma nekkee Yerusalem, saraxalekat yu mag ya ak njiiti Yawut ya kalaame nañu ko ci man, ñaan ma, ma daan ko.
25:16	Waaye ma tontu leen ne: “Jébbale nit, fekk jàkkaarloowul ak ñi koy jiiñ, ba man a làyyil boppam ci li ñu koy jiiñ, loolu dëppoowul ak aaday nguuru Room.”
25:17	Bi ñu àndee ak man ba fii nag, randaluma mbir mi, waaye ca ëllëg sa sax toog naa ca àttekaay ba, joxe ndigal, ñu indi nit kooku.
25:18	Ñi koy kalaame nag, bi ñu taxawee, jiiñuñu ko benn ñaawteef ci yi ma yaakaaroon;
25:19	waaye ñuy werante rekk ak moom ci seen yoon ak ci mbirum ku tudd Yeesu, mi dee, te Pool sax ci ne, mu ngi dund.
25:20	Gannaaw lijjanti mbir moomu jafe woon na ma lool nag, ma laaj ko, ndax bëgg na dem Yerusalem, layooji fa ci mbir yooyu.
25:21	Waaye Pool ñaan, nu fomm mbiram, ba kera buur bu tedd ba di ko àtte. Noonu santaane naa ñu aj ko, ba keroog ma koy yónnee Sesaar.»
25:22	Booba nag Agaripa ne Festus: «Man sax bëgg naa dégg nit kooku.» Festus tontu ko: «Bu ëllëgee dinga ko dégg.»
25:23	Ca ëllëg sa nag Agaripa ak Berenis ñëw bu xumb, ñu dugg ca néegu àtte ba, ànd ak kilifay xare ba ak ña am maana ca dëkk ba. Noonu Festus joxe ndigal, ñu indi Pool.
25:24	Bi mu ñëwee, Festus ne: «Buur Agaripa ak yéen ñépp, ñi fi teew tey, nit kaa ngi nii! Mbiram moo tax mbooloom Yawut yépp, muy ci Yerusalem, muy fii, wër ma di yuuxu ne: “Nit kii waratul a dund.”
25:25	Waaye gis naa ne, deful dara lu jar dee. Moona, gannaaw moom ci boppam dénk na boppam buur bu tedd ba, fas naa yéene yónnee ko ko.
25:26	Fekk awma dara lu wóor ci mbiram, lu ma man a bind sang bi. Moo tax ma indi ko ci seen kanam, rawatina ci sa kanam buur Agaripa, ngir sunu jataay may ma lu ma bind.
25:27	Ndaxte yaakaar naa ne, yónnee ku ñu tëj, te bañ caa boole lu ko waral, àndul ak xel.»
26:1	Bi mu ko waxee, Agaripa ne Pool: «Jëlal kàddu gi.» Noonu Pool tàllal loxoom, daldi làyyi ne:
26:2	«Buur Agaripa, ma làyyi ci sa kanam tey ci lépp, li ma Yawut yiy jiiñ, xol bu sedd la ci man,
26:3	ndaxte xam nga bu baax aaday Yawut yi ak seeni werantey yoon. Kon maa ngi lay ñaan, nga déglu ma ak muñ.
26:4	«Ci lu jëm ci Yawut yi, xam nañu sama dund li dale ci samag ndaw, muy ci sama biir xeet, muy ci Yerusalem.
26:5	Xam nañu ma bu yàgg te man nañoo seede, su leen neexee, ne daan naa dund ni Farisen, te mooy tariixa bi gën a diis ci sunu diine.
26:6	Li ma indi ci kureelu àttekat yii nag, mooy yaakaar ne, Yàlla dina amal li mu digoon sunuy maam.
26:7	Dige booba la fukki giir ak ñaar yu bànni Israyil di sàkku, ngir jot ko, ci jaamu Yàlla ak cawarte guddi ak bëccëg. Yaw buur, yaakaar joojoo tax ñu may kalaame, ñoom Yawut yi.
26:8	Lu tax seen xel dàq ne, Yàlla dina dekkal ñi dee?
26:9	«Man sax ci sama bopp defe woon naa ne, war naa def lu bare, ngir suufeel turu Yeesum Nasaret.
26:10	Daan naa ko def ci Yerusalem, ba noppi ma jot sañ-sañ ci saraxalekat yu mag ya, bay tëj gaayi Yàlla yu bare. Rax-ca-dolli ku ñu ci masoon a bëgg a rey, ànd naa ci.
26:11	Daan naa wër jàngoo-jàngu, di leen teg toskare te di leen jéem a weddiloo. Te sama mer daa na tar, ba ma di leen xañ ba ca dëkk yu sore, ngir fitnaal leen.
26:12	«Noonu am bés, may dem dëkku Damas, yor sañ-sañ ak ndigalu saraxalekat yu mag ya.
26:13	Ca njolloor, buur bi, gis naa ca yoon wa leer gu jóge asamaan ne ràyy, ba raw leeru jant, melax ba ëmb ma, man ak ñi ma àndal.
26:14	Nu ne nërëm ci suuf, ma dégg baat bu ma wax ci làkku yawut ne: “Sool, Sool, lu tax nga di ma fitnaal? Ngay bëre ak man ni fas wuy woŋŋeetu ku koy jam dëgël, metti na ci yaw.”
26:15	«Noonu ma tontu ko: “Yaa di kan, Boroom bi?” Boroom bi ne ma: “Maa di Yeesu, mi ngay fitnaal.
26:16	Waaye jógal taxaw. Lii moo tax ma feeñu la: teg naa la yen, nga di ma seedeel ci lépp li nga gis ci man, ak li ma lay feeñuji.
26:17	Dinaa la musal ci bànni Israyil ak ci ñi dul Yawut. Ci ñoom laa lay yebal,
26:18	ngir ubbi seeni bët, nga jële leen ci lëndëm, tàbbal leen ci leer, nga nangoo leen ci sañ-sañu Seytaane, woññi leen ci Yàlla, ma baal leen seeni bàkkaar te may leen cér ci biir sama gaa yi sell ci kaw ngëm.”
26:19	«Kon nag buur Agaripa, woruma li ma Yàlla yen ci peeñu.
26:20	Waaye li tàmbali ci Damas, teg ci dëkku Yerusalem ak réewu Yawut mépp, ba agsi ci ñi dul Yawut, yégal naa leen, ñu tuub seeni bàkkaar te woññiku ci Yàlla, bay jëf lu dëppook réccu.
26:21	Loolu nag moo waral Yawut yi jàpp ma ca kër Yàlla ga, di ma fexee rey.
26:22	Waaye gannaaw Yàllaa ngi may taxawu ba tey, maa ngi taxaw fi, di ko seedeel ci mag ak ndaw; yokkuma dara ci li yonent yi ak Musaa xamle woon lu jiitu,
26:23	maanaam Almasi bi dina dékku ay coono, te mooy jëkk a dekki, bay jollil leer ci bànni Israyil ak ñi dul Yawut.»
26:24	Bi muy làyyee nii, Festus daldi ko gëdd ak baat bu kawe ne ko: «Dangaa dof Pool! Xanaa sa njàng mu réy mi da laa xañ sago.»
26:25	Waaye Pool tontu ko: «Festus mu tedd mi, dofuma; waaye lu dëggu laay wax te ànd ak sago.
26:26	Yëf yii leer na buur bi, moo tax maa ngi koy wax ak kóolute. Wóor naa ne, dara ci lii may wax umpu ko, ndaxte lii amewul ciy ruq.
26:27	Yaw buur Agaripa, ndax gëmuloo yonent yi? Xam naa bu wér ne, gëm nga.»
26:28	Noonu Agaripa ne Pool: «Xanaa yaw, ci diir bu gàtt bii rekk, nga ma bëgg a dugale ci gaayi Kirist!»
26:29	Pool tontu ko: «Muy tey, muy ëllëg, waxuma yaw rekk waaye it ñi may déglu tey ñépp, na Yàlla def, ba ngeen fekksi ma ci li ma nekk, lu moy jéng yii!»
26:30	Ci kaw loolu buur ba daldi jóg, boroom réew ma topp ci, Berenis tegu ca ak mbooloo ma mépp.
26:31	Bi ñu génnee nag, ñuy waxante ne: «Nit kii deful dara lu jar dee mbaa kaso.»
26:32	Te Agaripa ne Festus: «Manoon nanu koo yiwi, bu dénkuloon mbiram Sesaar.»
27:1	Bi loolu wéyee ñu fas yéene noo dugal gaal jëme réewu Itali. Noonu ñu jël Pool ak ñeneen ñi ñu tëjoon, dénk leen njiitu xare bu tudd Yulyus, mi bokk ci mbooloom xare mu buur.
27:2	Nu dugg ca gaalu dëkku Adaramit guy taxaw ci teeruy Asi, daldi tàbbi ci biir géej; te Aristàrk, mi dëkk Tesalonig ci diiwaanu Maseduwan, ànd ak nun.
27:3	Ca ëllëg sa nu teer Sidon; Yulyus laabiir ci Pool, may ko mu dem ci ay xaritam, ngir ñu ganale ko.
27:4	Bi nu fa jógee, nu dem ci biir géej, leru dunu Sipar ci fegu ngelaw li, ndaxte ngelaw li da noo soflu.
27:5	Nu jàll géej, gi janook diiwaani Silisi ak Pamfili, teersi Mira ca wàlli Lisi.
27:6	Foofa nag njiit la gis gaal gu jóge Alegsàndiri, jëm Itali, mu dugal nu ca.
27:7	Noonu nuy dem ndànk diirub fan yu bare, ba janook Kanidd ci kaw coono bu réy; te ndegam ngelaw li mayu nu, nu jëm kanam, nu leru dunu Kereet ci fegu ngelaw li, janook Salmon.
27:8	Nu romb fa ak coono yu bare, agsi ca bérab bu ñuy wax Teeru yu neex, te dend ak dëkku Lase.
27:9	Fekk booba yàggoon nañu ca yoon wa, te dem ci géej daldi aaytal, ndaxte jamonoy Kooru Yawut ya wees na. Moo tax Pool digal leen ne:
27:10	«Gaa ñi, gis naa ne, tukki bi ëmb na musiba ak kasara ju bare, waxuma gaal gi ak li mu yeb waaye sunuy bakkan sax xaj na ci.»
27:11	Waaye njiit la sobental waxi Pool, déggal dawalkat ba ak boroom gaal ga.
27:12	Te gannaaw teeru ba neexul a lollikoo, ña ca ëpp mànkoo ci jóge fa, dem ci biir géej, ngir wut a agsi Fenigsë, biy teerub dunu Kereet te janook sowu suuf ak sowu kaw, nu lollikoo fa.
27:13	Noonu bi ngelaw lu woyof liy jóge sudd wolee, ñu defe ne, man nañoo sottal seen pexe, ñu wëgg diigal, daldi tafu ci dunu Kereet.
27:14	Waaye nes tuuti ngelaw lu wole penku, ñu di ko wax «Ërakilon,» jóge ca dun ba, ne milib ci sunu kaw.
27:15	Mu ëpp doole gaal ga, daldi ko wat, ba nu bayliku, daldi yal.
27:16	Nu daldi daw, leru dun bu tuuti bu ñuy wax Kóda ci fegu ngelaw, rawale looco ga ci kaw gaal ga ak coono bu bare.
27:17	Bi ñu ko yéegee, ñu fab ay buum, ngir laxas ca taatu gaal ga, ngir ragal a daanu ci suuf su nooy su ñuy wax Sirt; ba noppi ñu daldi sànni diigal, ngir wàññi doxub gaal ga, nuy yale noonu.
27:18	Waaye bi nu ngelaw li sonalee bu metti, ca ëllëg sa ñu sànni la gaal ga yeboon ca géej ga.
27:19	Te ca ñetteelu fan ba, ñu sànni ak seeni loxo jumtukaay, yi ñu yeboon ngir fàggu.
27:20	Noonu jant bi ne meŋŋ te biddiiw ne mes ay fan yu bare, fekk ba tey ngelaw li di wol ak doole, ba sunu yaakaaru mucc gépp tas.
27:21	Bi loolu di xew, fekk gëj nañoo lekk, Pool daldi taxaw ci seen biir ne leen: «Gaa ñi, li gënoon mooy ngeen déglu ma te bañ a jóge Kereet, ba indil seen bopp musiba ak kasara ju réy jii.
27:22	Léegi nag maa ngi leen di dénk, ngeen takk seen fit, ndax gaal gi rekk mooy yàqu, waaye kenn ci yéen du dee.
27:23	Ndaxte ci guddi menn malaaka dikkal na ma, jóge ci Yàlla sama Boroom, bi may jaamu.
27:24	Mu ne ma: “Pool bul tiit; fàww nga taxaw ci kanamu Sesaar, te yaa tax Yàllay aar bakkani ñi nga àndal ñépp.”
27:25	Moo tax gaa ñi, takkleen seen fit, ndax wóolu naa Yàlla ne, li mu ma wax, dina am.
27:26	Waaye war nanoo luf cib dun.»
27:27	Ca fukkeelu guddi ga ak ñeent nu nga doon jayaŋ-jayaŋi ca géeju Adiratig; noonu ca xaaju guddi dawalkati gaal ga defe ne, danu jegesi suuf.
27:28	Ñu sànni nattukaay ba ci biir géej, mu jàpp ñeent-fukki meetar, dem ca kanam tuuti, sànniwaat ko, jàpp fanweeri meetar.
27:29	Ñu ragal ne, dinañu fenqu ci ay xeer, kon ñu daldi sànni ñeenti diigal ci geenu gaal ga, di ñaan bët set.
27:30	Waaye ci kaw loolu dawalkati gaal ga taafantaloo sànniji ay diigal ca boppu gaal ga, fekk dañuy fexee jël looco ga, ba raw.
27:31	Waaye Pool ne njiit la ak xarekat ya: «Bu ñii desul ci gaal gi, dungeen raw.»
27:32	Noonu xarekat ya dagg buum, yay téye looco ga, bàyyi ko mu wéy.
27:33	Bi bët setagul, Pool sant leen ñu lekk; mu ne leen: «Tey mooy seen fukki fan ak ñeent yu ngeen ne jonn, lekkuleen, mosuleen dara.
